student_key,student_id,first_name,last_name,gender,nationality,birthdate,grade_level,class_id
1,1,Sara,Al Shamsi,F,Emirati,2008-10-06,9,27
2,2,Ali,Al Falahi,M,Emirati,2016-10-14,3,9
3,3,Saif,Al Nuaimi,M,Emirati,2009-12-24,10,28
4,4,Khalid,Al Suwaidi,M,Emirati,2017-07-03,2,5
5,5,Reem,Al Shamsi,F,Bangladeshi,2012-02-10,6,16
6,6,Reem,Al Murri,F,Bangladeshi,2018-05-29,1,3
7,7,Fatima,Al Saadi,F,Palestinian,2011-07-09,8,23
8,8,Khalid,Al Saadi,M,Indian,2012-08-24,7,19
9,9,Saif,Al Mazrouei,M,Indian,2015-07-25,3,7
10,10,Hassan,Al Rashedi,M,American,2015-11-26,3,8
11,11,Khalid,Al Suwaidi,M,Emirati,2008-07-23,9,26
12,12,Mohammed,Al Zarooni,M,Egyptian,2006-03-23,11,31
13,13,Hind,Al Rashedi,F,Emirati,2010-05-09,7,20
14,14,Sara,Al Saadi,F,Bangladeshi,2009-02-27,9,27
15,15,Mohammed,Al Mansoori,M,Emirati,2005-02-24,12,34
16,16,Mariam,Al Zarooni,F,Indian,2012-09-28,5,13
17,17,Reem,Al Murri,F,Egyptian,2008-01-30,11,32
18,18,Salem,Al Saadi,M,Emirati,2009-03-07,10,30
19,19,Lina,Al Suwaidi,F,Lebanese,2011-12-20,6,16
20,20,Khalid,Al Nuaimi,M,Other,2013-03-03,5,15
21,21,Omar,Al Murri,M,Emirati,2012-12-28,7,19
22,22,Fatima,Al Saadi,F,American,2016-12-08,2,4
23,23,Saif,Al Suwaidi,M,Bangladeshi,2011-07-28,7,19
24,24,Omar,Al Nuaimi,M,Palestinian,2013-12-11,6,18
25,25,Aisha,Al Falahi,F,Syrian,2009-04-09,10,28
26,26,Zayed,Al Suwaidi,M,Syrian,2012-10-08,6,16
27,27,Saif,Al Falahi,M,Filipino,2015-04-20,3,8
28,28,Sara,Al Suwaidi,F,Palestinian,2014-08-05,4,11
29,29,Lina,Al Mansoori,F,Emirati,2014-10-05,3,7
30,30,Yousef,Al Falahi,M,Emirati,2013-01-30,6,18
31,31,Aisha,Al Suwaidi,F,Emirati,2010-03-03,8,22
32,32,Reem,Al Mazrouei,F,Indian,2009-10-26,8,23
33,33,Noor,Al Shamsi,F,Emirati,2016-12-09,3,8
34,34,Yasmin,Al Murri,F,British,2016-02-21,1,3
35,35,Hassan,Al Zarooni,M,Syrian,2007-05-26,11,31
36,36,Saif,Al Shamsi,M,Bangladeshi,2010-06-03,7,21
37,37,Aisha,Al Suwaidi,F,Egyptian,2009-05-25,9,25
38,38,Noor,Al Mazrouei,F,Pakistani,2013-02-17,6,17
39,39,Mariam,Al Falahi,F,Emirati,2011-08-15,8,23
40,40,Hind,Al Zarooni,F,Emirati,2007-10-07,12,36
41,41,Yousef,Al Rashedi,M,Pakistani,2016-01-21,2,5
42,42,Fatima,Al Mazrouei,F,Pakistani,2007-03-21,10,29
43,43,Fatima,Al Suwaidi,F,Filipino,2008-06-19,11,31
44,44,Hind,Al Mazrouei,F,Arab (Other),2016-04-23,2,4
45,45,Zayed,Al Murri,M,Jordanian,2016-07-23,3,9
46,46,Omar,Al Shamsi,M,Lebanese,2013-01-15,5,15
47,47,Khalid,Al Suwaidi,M,Pakistani,2017-06-26,1,3
48,48,Noor,Al Nuaimi,F,Bangladeshi,2017-05-11,2,6
49,49,Ali,Al Falahi,M,Lebanese,2009-12-10,8,24
50,50,Ali,Al Saadi,M,African,2011-06-03,8,24
51,51,Ali,Al Murri,M,Syrian,2011-12-07,7,19
52,52,Layla,Al Rashedi,F,Pakistani,2011-05-27,7,19
53,53,Salem,Al Rashedi,M,Pakistani,2013-09-19,6,18
54,54,Mohammed,Al Saadi,M,Arab (Other),2011-05-01,8,23
55,55,Fatima,Al Mazrouei,F,Emirati,2013-02-07,4,11
56,56,Salem,Al Mazrouei,M,Pakistani,2013-12-02,6,16
57,57,Aisha,Al Nuaimi,F,Emirati,2018-08-22,1,1
58,58,Zayed,Al Zarooni,M,Other,2013-09-16,4,11
59,59,Saif,Al Mansoori,M,Canadian,2007-05-07,11,32
60,60,Mariam,Al Zarooni,F,Jordanian,2013-05-27,4,10
61,61,Yousef,Al Murri,M,British,2016-12-21,2,4
62,62,Hassan,Al Saadi,M,Syrian,2012-04-15,7,20
63,63,Hind,Al Rashedi,F,Filipino,2007-09-02,11,33
64,64,Yousef,Al Shamsi,M,Pakistani,2010-11-05,7,21
65,65,Yasmin,Al Mazrouei,F,Palestinian,2016-12-13,1,2
66,66,Layla,Al Mansoori,F,Canadian,2010-10-16,7,20
67,67,Aisha,Al Nuaimi,F,Emirati,2015-06-17,3,8
68,68,Yousef,Al Murri,M,Pakistani,2014-02-11,4,11
69,69,Saif,Al Falahi,M,African,2014-01-21,3,7
70,70,Fatima,Al Mazrouei,F,Bangladeshi,2015-12-09,3,7
71,71,Hassan,Al Mansoori,M,Pakistani,2014-02-28,3,9
72,72,Layla,Al Shamsi,F,Emirati,2006-07-12,11,33
73,73,Hassan,Al Saadi,M,Bangladeshi,2014-12-17,4,12
74,74,Aisha,Al Rashedi,F,Pakistani,2011-02-05,7,21
75,75,Yousef,Al Falahi,M,American,2015-08-24,2,5
76,76,Hind,Al Suwaidi,F,Bangladeshi,2014-08-27,4,12
77,77,Salem,Al Shamsi,M,Jordanian,2008-08-18,10,28
78,78,Zayed,Al Rashedi,M,Pakistani,2013-04-04,5,14
79,79,Yousef,Al Shamsi,M,Lebanese,2008-01-06,9,26
80,80,Hassan,Al Saadi,M,Emirati,2011-09-01,6,16
81,81,Yasmin,Al Mansoori,F,Indian,2013-05-05,4,11
82,82,Salem,Al Murri,M,Lebanese,2012-06-18,5,15
83,83,Zayed,Al Shamsi,M,Jordanian,2016-03-02,2,4
84,84,Layla,Al Mazrouei,F,Emirati,2013-11-02,4,12
85,85,Omar,Al Mazrouei,M,Syrian,2014-10-01,3,7
86,86,Ahmed,Al Falahi,M,Bangladeshi,2006-02-22,12,36
87,87,Reem,Al Shamsi,F,Palestinian,2013-09-02,5,13
88,88,Omar,Al Nuaimi,M,Lebanese,2011-03-18,8,22
89,89,Mariam,Al Saadi,F,Filipino,2010-11-02,7,20
90,90,Fatima,Al Zarooni,F,Palestinian,2014-06-06,4,12
91,91,Sara,Al Rashedi,F,Filipino,2005-04-19,12,34
92,92,Omar,Al Suwaidi,M,Emirati,2015-12-19,3,8
93,93,Mariam,Al Falahi,F,Emirati,2010-12-18,9,26
94,94,Khalid,Al Rashedi,M,Indian,2013-11-28,6,18
95,95,Khalid,Al Suwaidi,M,Emirati,2007-10-19,10,30
96,96,Yasmin,Al Saadi,F,Syrian,2008-10-03,9,26
97,97,Omar,Al Rashedi,M,Emirati,2009-01-14,9,27
98,98,Salem,Al Rashedi,M,Other,2009-03-31,10,30
99,99,Zayed,Al Shamsi,M,Emirati,2011-08-29,8,23
100,100,Yousef,Al Murri,M,Indian,2014-05-28,4,12
101,101,Hind,Al Zarooni,F,Emirati,2015-07-26,4,11
102,102,Sara,Al Zarooni,F,Egyptian,2014-09-13,3,8
103,103,Sara,Al Mazrouei,F,Jordanian,2006-09-06,11,32
104,104,Salem,Al Mazrouei,M,Pakistani,2011-02-17,7,21
105,105,Omar,Al Mansoori,M,Other,2007-05-30,10,29
106,106,Khalid,Al Nuaimi,M,Pakistani,2015-07-16,4,12
107,107,Salem,Al Zarooni,M,Indian,2007-06-24,11,32
108,108,Lina,Al Shamsi,F,Pakistani,2008-12-03,9,27
109,109,Mohammed,Al Mansoori,M,Syrian,2013-08-22,5,15
110,110,Fatima,Al Mazrouei,F,Indian,2008-06-11,11,32
111,111,Hind,Al Nuaimi,F,Other,2007-03-06,12,35
112,112,Salem,Al Murri,M,American,2017-03-15,2,5
113,113,Mohammed,Al Saadi,M,Syrian,2013-11-29,5,15
114,114,Yousef,Al Zarooni,M,Syrian,2009-01-19,8,23
115,115,Fatima,Al Shamsi,F,Other,2015-12-27,2,4
116,116,Yasmin,Al Suwaidi,F,Indian,2017-07-03,1,1
117,117,Mohammed,Al Mazrouei,M,Lebanese,2011-03-31,8,22
118,118,Ali,Al Rashedi,M,Pakistani,2008-08-24,11,31
119,119,Yasmin,Al Shamsi,F,Pakistani,2006-03-22,11,33
120,120,Yousef,Al Rashedi,M,Palestinian,2009-04-12,9,26
121,121,Yasmin,Al Saadi,F,Emirati,2011-01-12,7,21
122,122,Hind,Al Shamsi,F,Emirati,2007-05-27,11,33
123,123,Fatima,Al Rashedi,F,Indian,2010-12-14,8,24
124,124,Layla,Al Saadi,F,Canadian,2018-10-24,1,2
125,125,Mohammed,Al Saadi,M,American,2010-03-09,9,25
126,126,Noor,Al Zarooni,F,Syrian,2008-05-31,10,29
127,127,Noor,Al Saadi,F,Egyptian,2015-12-12,2,4
128,128,Lina,Al Murri,F,Emirati,2018-08-21,1,3
129,129,Khalid,Al Rashedi,M,Arab (Other),2005-04-30,12,34
130,130,Salem,Al Zarooni,M,Lebanese,2014-08-26,3,7
131,131,Mariam,Al Nuaimi,F,Emirati,2006-03-01,12,35
132,132,Saif,Al Suwaidi,M,Syrian,2009-10-04,8,24
133,133,Mohammed,Al Nuaimi,M,Pakistani,2011-12-20,8,23
134,134,Zayed,Al Mansoori,M,African,2016-10-05,2,6
135,135,Noor,Al Falahi,F,Jordanian,2007-12-06,12,35
136,136,Salem,Al Falahi,M,Emirati,2013-04-16,4,10
137,137,Saif,Al Mazrouei,M,Indian,2013-01-02,4,10
138,138,Mohammed,Al Suwaidi,M,Indian,2017-01-08,2,4
139,139,Hassan,Al Rashedi,M,Jordanian,2013-08-04,4,10
140,140,Omar,Al Mansoori,M,Syrian,2011-09-15,7,19
141,141,Salem,Al Falahi,M,Bangladeshi,2010-01-16,7,20
